"","CC.Line","Animal_ID","Block","Freezer.days","Blaze","weight.change","log.spleen.CFU","log.spleen.CEQ","log.lung.CFU","log.lung.CEQ","Eotaxin","GCSF","GMCSF","IFNy","IL1a","IL1B","IL2","IL5","IL6","IL7","IL9","IL10","IL12_p40","IL12_p70","IL15","IL17","IP10","KC","LIF","LIX","MCP1","MCSF","MIG","MIP1a","MIP1b","MIP2","RANTES","TNFa","VEGF"
"13","Cast.EiJ","CAST/Ei-2",1,0,0,-4.577,5.508,6.107,7.146,7.974,0.488550716500444,0.488550716500444,0.571708831808688,0.710963118995276,2.10253660687407,1.75891189239797,0.762678563727436,-0.769551078621726,0.815577748324267,-2,1.70380706527433,0.426511261364575,-0.638272163982407,-0.508638306165727,-0.537602002101044,0.170261715394957,1.81597600097199,2.61830964112343,0.651278013998144,2.58456866424327,1.73247417728119,0.328379603438738,2.76487074677687,1.80563676630593,1.59483435558332,2.5169450171368,0.661812685537261,0.993436230497612,0.136720567156407
"14","Cast.EiJ","CAST/Ei-3",1,0,0,-5.01,6.307,7.079,7.207,7.655,0.193124598354462,0.378397900948138,-0.119186407719209,0.755112266395071,2.1185623126356,1.64630568028476,0.436162647040756,-1.52287874528034,0.902546779313991,-2,1.6900187807887,-0.853871964321762,-0.638272163982407,0.164352855784437,-0.537602002101044,-0.113509274827518,1.97648753730519,2.5689171335102,0.515873843711679,2.70596628941668,1.60227708430019,0.424881636631067,2.72681682903422,2.14448080090275,1.87719851527179,2.43646479814162,0.637489729512511,1.06855689507236,0.0374264979406237
"15","NOD.ShiLtJ","NOD/ShiLEJ-1",1,0,0,-4.611,5.057,5.788,6.131,6.479,1.09621458534641,0.551449997972875,0.69810054562339,2.14668605564753,2.49822782315178,1.92443436354323,0.334453751150931,-0.769551078621726,0.9804578922761,-0.769551078621726,1.47798897625089,0.217483944213906,-0.638272163982407,-0.508638306165727,-0.537602002101044,-0.259637310505756,2.31302311032324,2.77299609993704,0.394451680826216,2.54560396848142,2.28253148381223,1.25767857486918,3.07172740039784,1.88524810778139,2.18141479625428,2.05918461763137,2.21708895147917,1.59824319165362,0.14921911265538
"16","NOD.ShiLtJ","NOD/ShiLEJ-2",1,0,0,-8.071,4.38,5.181,5.908,6.214,1.06744284277638,1.58703711774346,0.383815365980431,1.9501700598082,2.5670616732183,1.97731197339693,0.227886704613674,-1.52287874528034,1.09236969962912,-2,1.73399928653839,-0.0132282657337552,-0.638272163982407,0.164352855784437,0.786041210242554,-0.387216143280265,2.18926566893455,2.45847165238423,0.628388930050311,2.51556920112378,1.99594216299255,1.0068937079479,3.1202579657631,2.45058778752556,2.16130809541622,2.67849106406278,2.0265332645233,1.74577721788976,-0.119186407719209
"17","NOD.ShiLtJ","NOD/ShiLEJ-3",1,0,0,-4.136,5.568,5.456,6.045,6.407,0.866287339084195,0.45484486000851,0.808885867359812,2.07309486451575,2.34637253682455,2.05049575888386,0.726727209026572,-0.494850021680094,0.896526217489555,-2,1.8685268867682,-0.193820026016113,-0.638272163982407,0.164352855784437,-0.537602002101044,-0.0362121726544447,2.13630826725581,2.52378547354619,0.667452952889954,2.59959926940117,2.10782026724805,1.09236969962912,3.07556520867649,1.62818450807341,1.7167543574327,1.84404204204102,1.58534791109459,1.61982350045728,-0.0409586076789064
"18","NZO.H1LtJ","NZO/H1LtJ-1",1,0,0,-6.128,6.455,6.089,6.35,6.678,1.25527250510331,0.917505509552547,-0.119186407719209,1.73070154428185,2.44725108447586,1.94011786674772,0.404833716619938,-0.522878745280338,0.992995098431341,-2,1.99224414404677,0.0569048513364726,0.419955748489758,-0.508638306165727,-0.537602002101044,0.352182518111362,2.1940145463747,2.51259101820094,0.357934847000454,2.52386347650669,1.82360462835516,0.409933123331295,3.05254389399851,1.54654266347813,1.84435289631089,1.766264090652,2.02783867818895,1.49623754516674,0.281033367247728
"19","NZO.H1LtJ","NZO/H1LtJ-2",1,0,0,53.563,6.188,6.81,5.892,7.222,0.606381365110605,0.773786444981194,0.181843587944773,1.31993843998031,2.16088851614497,1.63608651510307,0.436162647040756,-1.52287874528034,0.469822015978163,-2,1.62065647981962,-0.193820026016113,-0.638272163982407,-0.508638306165727,-0.537602002101044,-0.0705810742857073,2.02657411815033,2.20946139462999,0.0606978403536116,2.51900060333964,1.49303958831765,0.127104798364808,2.93216416879874,1.51759173071191,1.64502906472114,0.763427993562937,1.01870049866624,1.3174364965351,0.110589710299249
"20","NZO.H1LtJ","NZO/H1LtJ-3",1,0,0,-10.794,6.602,6.206,6.934,8.068,0.730782275666389,1.31196566036837,-0.119186407719209,1.67669360962487,2.61638097759435,2.1797528068975,-0.346787486224656,-1.52287874528034,1.48244479191827,-2,1.46044678388072,0.217483944213906,-0.638272163982407,0.418301291319745,-0.537602002101044,1.6341748717626,2.13084818310286,2.45800293756028,0.599883072073688,2.60612329172563,1.44529276942597,0.409933123331295,3.03110536235594,1.71273385906995,1.81842385509208,1.97644168937884,1.47755533219898,1.76952502017105,-0.113509274827518
"21","PWK.PhJ","PWK/phJ-1",1,0,0,-7.453,7.491,7.178,6.875,7.685,0.532754378992498,0.100370545117563,0.181843587944773,1.24278980947868,2.5478362158308,2.32890940487119,0.450249108319361,-1.52287874528034,0.413299764081252,-2,1.8670548004767,-0.193820026016113,-0.638272163982407,-0.508638306165727,-0.537602002101044,-0.568636235841013,2.03702787975578,2.69650491476539,0.469822015978163,2.67715052127343,1.87984105598656,0.127104798364808,2.82864056549018,1.7900739484263,2.30698228255136,2.16711047859666,1.50852971897129,1.37217528611506,-0.0315170514460649
"22","PWK.PhJ","PWK/phJ-2",1,0,0,3.849,6.225,6.857,6.565,7.433,0.594392550375427,-0.154901959985743,-0.119186407719209,1.13097669160562,2.47574380674813,2.38715837827271,0.541579243946581,-1.52287874528034,0.311753861055754,-2,2.07685881012859,-0.0132282657337552,-0.638272163982407,0.418301291319745,-0.537602002101044,-0.200659450546418,1.95491755373496,2.55275336354544,0.4983105537896,2.66022969122786,1.74186039406526,0.271841606536499,2.77972632734101,1.82968964089897,2.28880794748348,2.09138554207837,1.64077947734486,1.28510702956681,-0.0604807473813815
