"","black","blue","brown","cyan","darkred","green","greenyellow","grey60","lightcyan","lightgreen","lightyellow","magenta","midnightblue","pink","purple","red","royalblue","salmon","tan","turquoise"
"CC001cs",2.89899241945944,14.5264583467605,-36.8368140409806,-0.523648192994466,7.22170950613997,-0.706865207828734,-14.0462080402788,-3.99102614997061,3.60163777149117,-0.967620419168504,-4.45592832128611,2.19010562749147,2.9371094817133,-3.33633232483275,1.03702043389626,7.02743668200478,-4.23353522213517,4.08842803245546,2.09799671282814,9.0506037055327
"CC002cs",0.147652412418764,-20.0785348747498,10.5035153784626,-1.33475519802722,-6.00586914881401,-0.552121210319177,4.64241694641329,-1.14705464660205,0.698431224449598,-3.21935216084904,2.01519937074494,-5.00507556683351,1.98814116451594,2.01921182039068,-11.6301770216627,-10.7804670974558,0.381714908192609,-13.8696325302783,-1.98776922669136,5.68454704903241
"CC003cs",3.35873303912981,-27.6907698213532,-5.67873760122365,4.99599527062634,6.34732343868246,10.3683440223068,14.0930502559784,-3.0897342543437,-3.48916252895188,-0.128081937209956,2.77737441044291,-17.35782323461,-3.68759490855783,-1.2759576534181,-9.45883999267609,-8.3069460645735,-1.4694814445256,-10.2955370212622,5.62497377904281,16.55158332936
"CC004cs",-4.19062074863772,1.91376921829831,-20.2568539551987,-1.95480768736696,6.61206154469944,12.8554171227315,5.1700214519747,2.57043228347014,-0.808040069925585,4.60760373549786,0.991779248017968,-14.9332409193521,-1.88025085078107,0.450436639946383,-4.75413494584919,2.48306832079833,-1.91487798180799,-2.97827932783994,-0.444892664118773,14.3026264238857
"CC005cs",3.85134069928418,-10.5412284948565,-23.2740830600798,-0.152386832012581,8.94890866509829,3.69749538112652,12.1075295289289,-2.13540717106495,-1.31173957434164,0.552602434403175,-2.58438708068381,-18.0935646524379,-7.77242501989313,-0.66900164605096,-14.5433655209707,-3.27725476645392,-4.26439829736765,-11.9391530372193,8.50847843966116,20.0768218396976
"CC006cs",-0.635481116373959,3.89754419045111,-21.8144351831084,-0.572257170197606,-1.54955031226695,12.8554171227315,-0.849972345886555,-1.77944055419204,2.63238222671509,-1.12995842943045,-4.65612750837713,-0.487736346705655,2.63768477116139,0.842766773059678,-1.60244081182642,-5.43588177076714,-0.653055366929082,0.561300692573628,1.10551536235329,15.6004339826821
"CC007cs",-7.38642324573548,1.7919949782943,-5.46503042840041,1.77525835046017,6.24121935005577,1.58818564476257,3.02243787442744,0.438103548224034,3.25951509521402,2.55797322598025,1.8291242571963,8.70856244581378,-0.654981442466572,-5.21712751653205,2.45742214753227,5.5202466987055,-1.65196207866113,2.15217101178132,1.28563955150423,-7.54212309054099
"CC008cs",0.146323010534899,19.8370404837484,6.06232821196721,-1.12353703250967,-1.9171539650472,3.93500638020334,-12.222386748757,0.742729415480886,3.0559717186579,3.68564968140516,-0.519313760292724,0.447607855697496,1.46819853653029,-2.4354784583211,3.34533234630541,-0.52289163789549,-1.07475049008881,3.5601151883817,5.73184928495309,-10.5197521975186
"CC009cs",-1.75671780301448,5.82545068724631,-32.940508587504,8.05378226385469,9.09710673657701,5.3001589642018,1.99677640588914,2.16559214299911,0.182374323627009,2.22249813759662,0.363774841348174,2.33553466540556,3.21036624172834,-5.70840510022058,2.02622168911787,2.50810368144105,-4.26439829736765,-1.38184705930004,1.05954049747268,20.0768218396976
"CC010cs",2.7864167514092,11.035493034406,-0.368432042940022,-2.52113764114673,-6.09006765218927,3.93824832030681,-7.0310707288515,1.05763534368442,3.24612419489717,4.16914103792565,5.8554062398578,13.112941604023,8.37260380878334,0.559189891975542,-1.43992871809441,0.437116663319175,-1.99151869959295,-0.414240256050738,0.413335910449956,-0.117194478061451
"CC011cs",-0.458855922855276,13.9828176186666,-36.8368140409806,-4.63085075184519,0.736637584120635,2.91400454659572,-4.18461258976162,2.57043228347014,-0.291645707370065,-0.361048252741696,-3.66114718363384,-2.49151582803421,0.421280684129478,-3.34152363921575,0.0789095523361593,10.6879554567097,-0.142920018347221,3.87277187783117,-0.0587893772715016,5.66480977050492
"CC012cs",-1.52595334945195,13.225402405086,20.0506884051174,-4.63085075184519,-6.09006765218927,0.318398502651323,-8.05440766833448,-3.74501492075624,-0.0931869053683124,-2.69151943570099,3.90913349474975,9.32293262236106,1.01827938845171,0.471273469954505,0.00904510548205533,-5.80084457467358,-1.89317555827298,-1.19750118093151,-7.8746713850607,-1.11591409746906
"CC013cs",-4.91591145828766,6.39635058153942,7.02391026954421,1.05971303732304,-2.47154412512637,12.8554171227315,-6.4854274456733,0.626611458265812,3.01980099725932,2.21043842194258,4.69381928129453,12.819613198077,6.26165154784451,-4.08221417146457,1.76742860527482,1.75460713715115,1.4317985733286,6.22683050737376,3.19565434473139,-7.16918499682134
"CC015cs",-1.6526081785691,4.1277130418927,-35.5592195960776,-1.79142371448153,4.19851291720902,2.06386260516058,8.33236443100317,0.0534045372594411,-2.49755449735865,-4.10732802879448,-5.15426730009803,-2.89176103284781,-3.14440209800145,-5.70840510022058,-10.8659501777365,3.93193171614052,-2.32916348115826,-8.17336458849951,8.50847843966116,17.1320502830844
"CC016cs",3.85134069928418,19.8370404837484,-8.93640863317847,-0.377011104320325,-0.766844241312832,4.02590986227873,-11.5606219337407,-0.960728153514126,1.44617538614435,2.4074943856951,-2.75900413082901,6.09863786862557,8.25724340869457,-2.96899489778312,-0.808857961563063,1.34604354150303,0.000321870167738686,4.24616447053177,-4.9801352462489,-4.78312558186603
"CC017cs",0.648113213897262,-27.6907698213532,11.8500990262848,4.84302714760786,-2.672819549848,9.35667888851786,3.96898209866968,-1.37655340680466,-3.43274430627011,0.835164130605402,5.8554062398578,-10.2340509460129,-1.77519707432014,-1.51708273434841,-3.477358097217,-5.05671422594533,0.863009478609427,-7.01406940221875,1.63620915577879,4.81295622584392
