"","spleenCFU","spleenCEQ","lungCFU","lungCEQ","Eotaxin","GCSF","IFNy","IL1a","IL1B","IL2","IL6","IL9","IL10","IL17","IP10","KC","LIF","LIX","MCP1","MCSF","MIG","MIP1a","MIP1b","MIP2","RANTES","TNFa","VEGF"
"CC001cs",5.84066666666667,6.976,5.56566666666667,6.74333333333333,1.08125733541262,0.870044924959773,1.25383263569124,2.20631238009122,1.76927269995283,1.02553453050339,0.8397840099032,1.9343757656736,0.36858784482074,-0.0211721393024585,1.84452054298849,2.0394449057452,0.444187220291162,2.44267211141581,1.85775923393476,0.279426366243856,2.81558044474603,1.66210620007656,1.88172835924201,2.00402266546302,1.86678261734027,1.18699093177078,0.64474964768455
"CC002cs",7.13633333333333,7.48233333333333,8.42,8.39233333333333,2.01250302691042,3.94818450727176,2.3516841004061,3.77793286474491,3.057376826688,0.788023030271816,3.3000258893093,1.72832121166886,1.13574308805114,1.75101940363639,2.77019256341291,3.75554616834976,2.08322029715741,3.07714918714759,3.44095489090226,2.33102293802754,3.30391001734334,3.70872358700813,4.08942067028632,4.12188832911105,1.54930546601688,2.56358255162694,1.88778624688309
"CC003cs",7.464,7.884,8.1315,8.59,0.841814355630693,3.08563300833282,1.9387634173118,3.0298320325296,2.43182264694236,0.734786572736526,2.71270201647696,1.99307608384867,0.365556558765917,1.96902998516379,1.79769528920935,3.49192154039078,1.40380048949935,2.66139098216852,2.48974752986774,1.36296508144303,3.03849814779056,3.26528412810619,3.11355998216,4.12202518793156,1.48742249990163,2.23402030511148,1.1220152897191
"CC004cs",7.02033333333333,7.55366666666667,7.74066666666667,8.36333333333333,1.01896863426167,2.20625181148534,2.58304550363143,3.19724324859231,2.56133072007634,1.04718027225077,2.29282252295019,2.12478268388289,0.69843136080939,1.4641109987375,2.19161027656597,3.35296873997051,1.20308884936807,2.9081059176531,2.6010560002179,1.31909564354048,3.08516432281705,2.62425486198182,2.73988766217335,3.54281017424233,1.62480967728651,2.07768627359849,0.490111271245363
"CC005cs",7.64133333333333,7.87433333333333,7.715,8.19566666666667,0.96302969010597,2.10446012395042,1.15675576206064,2.56532139163392,2.04696781738381,0.624991870691457,2.0831054222428,2.01999271238901,-0.0754815517702227,1.21212588072384,2.1500539295414,2.86910807081503,0.789745706253239,2.48994443760471,2.00690161511825,0.818899102282802,2.93880650710321,2.51209662504577,2.33390460005617,3.28084790649922,1.44851057810692,1.70962780236094,0.683128578842054
"CC006cs",6.80033333333333,7.14633333333333,6.4205,6.72866666666667,1.11796559413245,0.586273323205104,1.5942883565499,2.21993765539701,1.866043333311,0.808732389179996,1.27742901908638,2.07911140792545,0.156440984390574,0.111815555686988,1.85121550389502,2.25168229961026,0.610106898752242,2.53895429508211,1.78734257166405,0.600351228025643,2.81103277082401,1.93691542321732,2.23970887041362,1.94955151934854,1.89011682995671,1.49113465943788,0.188699312673833
"CC007cs",5.66366666666667,6.27133333333333,7.18133333333333,7.61566666666667,0.860513512468592,1.68121597746002,1.55804928867088,2.59570310944946,1.92165163756577,0.76248804616241,2.11941245764724,1.78497835691914,-0.0132282657337552,2.13882331538572,1.8257858031909,2.61492654499746,1.0532506440841,2.59436663692905,1.90680797209902,0.330925265450962,2.81563091079392,1.92185639566567,1.71931733601795,2.35918864671602,1.21429479635754,1.16945225108242,0.188625798239021
"CC008cs",5.68433333333333,5.715,6.624,6.918,1.04696951395365,0.805728882834171,1.20192249976157,2.20319199513706,1.33594402613568,0.87377193152622,0.588895182673959,1.89015884692909,-0.103524145874934,-0.129345395550215,1.70124978424987,1.94939302765987,0.211917729255713,2.6006273479037,1.60699780818404,0.0928277294601078,2.84295305364848,1.22771359297626,1.20166597611572,1.9198100201702,1.75118774661615,0.945802455120965,0.708430047500648
"CC009cs",6.97133333333333,6.68366666666667,6.85533333333333,7.108,0.947147727449164,1.17789841525395,1.77186625201445,2.65843694686851,1.7687715078518,1.14445560946262,1.35381200279428,2.20659814378582,0.41751802994723,0.399596261550747,2.1272212069835,2.810089103491,0.613581974949857,2.62306292460047,2.38165703506372,0.677844306191196,2.90362569853813,2.24059614177145,2.3182425576322,2.50625456332598,1.37648578700503,1.55129548380132,0.727781794805902
"CC010cs",5.52834978720254,6.08748823668033,6.37420350759982,6.84426123790323,1.185918980746,0.731504586136037,1.25015229883957,2.4857352493285,1.94796293865817,0.850313670522666,0.833167010924444,1.86152563237437,-0.153112475435849,-0.744922888335462,2.03713882657609,2.52659078515027,0.583349743258994,2.74382344664081,1.96682338791189,1.0056034112067,2.94537193205731,1.85489553459251,2.22021869905404,2.21534042809135,1.74994712719081,1.43287992719084,0.929553021530578
